agent_id,communication_style,total_rounds,times_proposer,total_bids_made,avg_bid,total_interventions,avg_intervention_cost,total_cost,total_reward,net_benefit,avg_reward_per_round,final_budget
agent_00,neutral,5,0,5,0.000000,0,0.000000,0.015546,0.000000,-0.015546,0.000000,0.998350
agent_01,calibrated,5,0,5,0.000000,0,0.000000,0.027621,0.000000,-0.027621,0.000000,0.993231
agent_02,timid,5,0,5,0.000000,0,0.000000,0.039008,0.000000,-0.039008,0.000000,0.990446
agent_03,neutral,5,0,5,0.000000,0,0.000000,0.030287,0.000000,-0.030287,0.000000,0.991104
agent_04,assertive,5,0,5,0.000000,0,0.000000,0.034043,0.000000,-0.034043,0.000000,0.993247
agent_05,timid,5,0,5,0.000000,0,0.000000,0.026590,0.000000,-0.026590,0.000000,0.993906
agent_06,calibrated,5,0,5,0.000000,0,0.000000,0.024194,0.000000,-0.024194,0.000000,0.995360
agent_07,timid,5,0,5,0.000000,0,0.000000,0.035774,0.000000,-0.035774,0.000000,0.991603
agent_08,calibrated,5,0,5,0.000000,0,0.000000,0.026779,0.000000,-0.026779,0.000000,0.997230
agent_09,calibrated,5,0,5,0.000000,0,0.000000,0.021507,0.000000,-0.021507,0.000000,0.994157
agent_10,calibrated,5,0,5,0.000000,0,0.000000,0.034474,0.000000,-0.034474,0.000000,0.990531
agent_11,assertive,5,0,5,0.000000,0,0.000000,0.021069,0.000000,-0.021069,0.000000,0.994460
agent_12,timid,5,0,5,0.000000,0,0.000000,0.027865,0.000000,-0.027865,0.000000,0.995163
agent_13,assertive,5,0,5,0.000000,0,0.000000,0.022911,0.000000,-0.022911,0.000000,0.992999
agent_14,timid,5,0,5,0.000000,0,0.000000,0.024841,0.000000,-0.024841,0.000000,0.997679
agent_15,neutral,5,0,5,0.000000,0,0.000000,0.031697,0.000000,-0.031697,0.000000,0.994288
agent_16,assertive,5,0,5,0.000000,0,0.000000,0.031929,0.000000,-0.031929,0.000000,0.992460
agent_17,neutral,5,0,5,0.000000,0,0.000000,0.019373,0.000000,-0.019373,0.000000,0.996402
agent_18,neutral,5,0,5,0.000000,0,0.000000,0.021000,0.000000,-0.021000,0.000000,0.998853
agent_19,assertive,5,0,5,0.000000,0,0.000000,0.029136,0.000000,-0.029136,0.000000,0.992194
