round_num,vignette_id,agent_id,communication_style,assessment_choice,assessment_confidence,bid_amount,was_proposer,proposal_cost,intervention_cost,final_vote,agent_reward,agent_total_cost,budget_remaining
1,ethics_mh_071,agent_00,timid,Option A,0.682,0.000000,0,0.000000,0.000000,Option A,0.000000,0.002445,0.997555
1,ethics_mh_071,agent_01,timid,Option A,0.948,0.000000,0,0.000000,0.000000,Option A,0.000000,0.009998,0.990002
1,ethics_mh_071,agent_02,neutral,Option A,0.509,0.000000,0,0.000000,0.000000,Option A,0.000000,0.002074,0.997926
1,ethics_mh_071,agent_03,neutral,Option A,0.811,0.000000,0,0.000000,0.000000,Option A,0.000000,0.005620,0.994380
1,ethics_mh_071,agent_04,calibrated,Option A,0.976,0.000000,0,0.000000,0.000000,Option A,0.000000,0.009354,0.990646
1,ethics_mh_071,agent_05,assertive,Option A,0.924,0.000000,0,0.000000,0.000000,Option A,0.000000,0.001948,0.998052
1,ethics_mh_071,agent_06,assertive,Option A,0.855,0.000000,0,0.000000,0.000000,Option A,0.000000,0.001291,0.998709
1,ethics_mh_071,agent_07,calibrated,Option A,0.950,0.000000,0,0.000000,0.000000,Option A,0.000000,0.001419,0.998581
1,ethics_mh_071,agent_08,calibrated,Option A,0.596,0.000000,0,0.000000,0.000000,Option A,0.000000,0.001829,0.998171
1,ethics_mh_071,agent_09,neutral,Option A,0.531,0.000000,0,0.000000,0.000000,Option A,0.000000,0.003511,0.996489
1,ethics_mh_071,agent_10,timid,Option A,0.903,0.000000,0,0.000000,0.000000,Option A,0.000000,0.004754,0.995246
1,ethics_mh_071,agent_11,timid,Option A,0.542,0.000000,0,0.000000,0.000000,Option A,0.000000,0.007258,0.992742
1,ethics_mh_071,agent_12,assertive,Option A,0.953,0.000000,0,0.000000,0.000000,Option A,0.000000,0.001656,0.998344
1,ethics_mh_071,agent_13,timid,Option A,0.550,0.000000,0,0.000000,0.000000,Option A,0.000000,0.009581,0.990419
1,ethics_mh_071,agent_14,assertive,Option A,0.553,0.000000,0,0.000000,0.000000,Option A,0.000000,0.002194,0.997806
1,ethics_mh_071,agent_15,assertive,Option A,0.612,0.000000,0,0.000000,0.000000,Option A,0.000000,0.002283,0.997717
1,ethics_mh_071,agent_16,neutral,Option A,0.585,0.000000,0,0.000000,0.000000,Option A,0.000000,0.001448,0.998552
1,ethics_mh_071,agent_17,neutral,Option A,0.562,0.000000,0,0.000000,0.000000,Option A,0.000000,0.006586,0.993414
1,ethics_mh_071,agent_18,calibrated,Option A,0.557,0.000000,0,0.000000,0.000000,Option A,0.000000,0.006554,0.993446
1,ethics_mh_071,agent_19,calibrated,Option A,0.896,0.000000,0,0.000000,0.000000,Option A,0.000000,0.008263,0.991737
2,ethics_mh_084,agent_00,timid,Option A,0.695,0.000000,0,0.000000,0.000000,Option A,0.000000,0.007876,0.992124
2,ethics_mh_084,agent_01,timid,Option A,0.565,0.000000,0,0.000000,0.000000,Option A,0.000000,0.003735,0.996265
2,ethics_mh_084,agent_02,neutral,Option A,0.943,0.000000,0,0.000000,0.000000,Option A,0.000000,0.004267,0.995733
2,ethics_mh_084,agent_03,neutral,Option A,0.962,0.000000,0,0.000000,0.000000,Option A,0.000000,0.002143,0.997857
2,ethics_mh_084,agent_04,calibrated,Option A,0.985,0.000000,0,0.000000,0.000000,Option A,0.000000,0.009246,0.990754
2,ethics_mh_084,agent_05,assertive,Option A,0.885,0.000000,0,0.000000,0.000000,Option A,0.000000,0.003748,0.996252
2,ethics_mh_084,agent_06,assertive,Option A,0.622,0.000000,0,0.000000,0.000000,Option A,0.000000,0.007823,0.992177
2,ethics_mh_084,agent_07,calibrated,Option A,0.901,0.000000,0,0.000000,0.000000,Option A,0.000000,0.005428,0.994572
2,ethics_mh_084,agent_08,calibrated,Option A,0.840,0.000000,0,0.000000,0.000000,Option A,0.000000,0.002217,0.997783
2,ethics_mh_084,agent_09,neutral,Option A,0.796,0.000000,0,0.000000,0.000000,Option A,0.000000,0.007599,0.992401
2,ethics_mh_084,agent_10,timid,Option A,0.624,0.000000,0,0.000000,0.000000,Option A,0.000000,0.005269,0.994731
2,ethics_mh_084,agent_11,timid,Option A,0.700,0.000000,0,0.000000,0.000000,Option A,0.000000,0.006846,0.993154
2,ethics_mh_084,agent_12,assertive,Option A,0.655,0.000000,0,0.000000,0.000000,Option A,0.000000,0.009553,0.990447
2,ethics_mh_084,agent_13,timid,Option A,0.617,0.000000,0,0.000000,0.000000,Option A,0.000000,0.008896,0.991104
2,ethics_mh_084,agent_14,assertive,Option A,0.611,0.000000,0,0.000000,0.000000,Option A,0.000000,0.002862,0.997138
2,ethics_mh_084,agent_15,assertive,Option A,0.551,0.000000,0,0.000000,0.000000,Option A,0.000000,0.008147,0.991853
2,ethics_mh_084,agent_16,neutral,Option A,0.976,0.000000,0,0.000000,0.000000,Option A,0.000000,0.002496,0.997504
2,ethics_mh_084,agent_17,neutral,Option A,0.765,0.000000,0,0.000000,0.000000,Option A,0.000000,0.004070,0.995930
