agent_id,communication_style,total_rounds,times_proposer,total_bids_made,avg_bid,total_interventions,avg_intervention_cost,total_cost,total_reward,net_benefit,avg_reward_per_round,final_budget
agent_00,timid,5,0,5,0.000000,0,0.000000,0.019401,0.000000,-0.019401,0.000000,0.998963
agent_01,timid,5,0,5,0.000000,0,0.000000,0.030310,0.000000,-0.030310,0.000000,0.998767
agent_02,neutral,5,0,5,0.000000,0,0.000000,0.020186,0.000000,-0.020186,0.000000,0.992035
agent_03,neutral,5,0,5,0.000000,0,0.000000,0.022245,0.000000,-0.022245,0.000000,0.992516
agent_04,calibrated,5,0,5,0.000000,0,0.000000,0.036328,0.000000,-0.036328,0.000000,0.992950
agent_05,assertive,5,0,5,0.000000,0,0.000000,0.023204,0.000000,-0.023204,0.000000,0.995840
agent_06,assertive,5,0,5,0.000000,0,0.000000,0.025246,0.000000,-0.025246,0.000000,0.994496
agent_07,calibrated,5,0,5,0.000000,0,0.000000,0.023700,0.000000,-0.023700,0.000000,0.997954
agent_08,calibrated,5,0,5,0.000000,0,0.000000,0.021281,0.000000,-0.021281,0.000000,0.994145
agent_09,neutral,5,0,5,0.000000,0,0.000000,0.037014,0.000000,-0.037014,0.000000,0.991178
agent_10,timid,5,0,5,0.000000,0,0.000000,0.029574,0.000000,-0.029574,0.000000,0.996028
agent_11,timid,5,0,5,0.000000,0,0.000000,0.027972,0.000000,-0.027972,0.000000,0.993738
agent_12,assertive,5,0,5,0.000000,0,0.000000,0.027166,0.000000,-0.027166,0.000000,0.997161
agent_13,timid,5,0,5,0.000000,0,0.000000,0.028417,0.000000,-0.028417,0.000000,0.998611
agent_14,assertive,5,0,5,0.000000,0,0.000000,0.012441,0.000000,-0.012441,0.000000,0.997857
agent_15,assertive,5,0,5,0.000000,0,0.000000,0.030862,0.000000,-0.030862,0.000000,0.991656
agent_16,neutral,5,0,5,0.000000,0,0.000000,0.027126,0.000000,-0.027126,0.000000,0.995194
agent_17,neutral,5,0,5,0.000000,0,0.000000,0.022933,0.000000,-0.022933,0.000000,0.995222
agent_18,calibrated,5,0,5,0.000000,0,0.000000,0.020194,0.000000,-0.020194,0.000000,0.994983
agent_19,calibrated,5,0,5,0.000000,0,0.000000,0.034404,0.000000,-0.034404,0.000000,0.991627
