agent_id,communication_style,total_rounds,times_proposer,total_bids_made,avg_bid,total_interventions,avg_intervention_cost,total_cost,total_reward,net_benefit,avg_reward_per_round,final_budget
agent_00,neutral,3,0,3,0.612693,3,0.002880,0.008640,1.491360,1.482720,0.497120,1.000000
agent_01,assertive,3,2,3,0.973176,1,0.001267,2.018984,-0.518984,-2.537967,-0.172995,1.000000
agent_02,timid,3,0,3,0.346460,2,0.003511,0.007022,1.492978,1.485956,0.497659,1.000000
agent_03,calibrated,3,0,3,0.640329,3,0.002693,0.008078,1.491922,1.483844,0.497307,1.000000
agent_04,calibrated,3,0,3,0.702668,1,0.003054,0.003054,1.496946,1.493893,0.498982,1.000000
agent_05,calibrated,3,0,3,0.952130,2,0.003729,0.007459,1.492541,1.485083,0.497514,1.000000
agent_06,neutral,3,0,3,0.743439,1,0.004298,0.004298,1.495702,1.491404,0.498567,1.000000
agent_07,assertive,3,1,3,1.000000,2,0.004382,1.018679,0.481321,-0.537357,0.160440,1.000000
agent_08,neutral,3,0,3,0.654367,2,0.002286,0.004572,1.495428,1.490856,0.498476,1.000000
agent_09,timid,3,0,3,0.356515,2,0.003424,0.006848,1.493152,1.486304,0.497717,1.000000
agent_10,timid,3,0,3,0.278751,2,0.003446,0.006892,1.493108,1.486216,0.497703,1.000000
agent_11,assertive,3,0,3,1.000000,3,0.003271,0.009812,1.490188,1.480376,0.496729,1.000000
agent_12,timid,3,0,3,0.379397,2,0.002071,0.004141,1.495859,1.491718,0.498620,1.000000
agent_13,timid,3,0,3,0.400166,0,0.000000,0.000000,1.500000,1.500000,0.500000,1.000000
agent_14,assertive,3,0,3,1.000000,2,0.001459,0.002918,1.497082,1.494164,0.499027,1.000000
agent_15,calibrated,3,0,3,0.697132,0,0.000000,0.000000,1.500000,1.500000,0.500000,1.000000
agent_16,assertive,3,0,3,0.957146,2,0.002777,0.005554,1.494446,1.488892,0.498149,1.000000
agent_17,neutral,3,0,3,0.548028,1,0.001697,0.001697,1.498303,1.496606,0.499434,1.000000
agent_18,neutral,3,0,3,0.762149,1,0.004160,0.004160,1.495840,1.491681,0.498613,1.000000
agent_19,calibrated,3,0,3,0.873553,2,0.003389,0.006778,1.493222,1.486444,0.497741,1.000000
