agent_id,communication_style,total_rounds,times_proposer,total_bids_made,avg_bid,total_interventions,avg_intervention_cost,total_cost,total_reward,net_benefit,avg_reward_per_round,final_budget
agent_00,calibrated,5,1,5,0.746813,2,0.004055,1.012628,1.487372,0.474743,0.297474,1.000000
agent_01,neutral,5,0,5,0.710851,2,0.001285,0.002570,2.497430,2.494860,0.499486,1.000000
agent_02,calibrated,5,1,5,0.724572,4,0.002728,1.020282,1.479718,0.459435,0.295944,1.000000
agent_03,assertive,5,2,5,0.998410,2,0.003330,2.015946,0.484054,-1.531891,0.096811,1.000000
agent_04,neutral,5,0,5,0.724059,2,0.003748,0.007496,2.492504,2.485008,0.498501,1.000000
agent_05,timid,5,0,5,0.378335,3,0.003063,0.009189,2.490811,2.481623,0.498162,1.000000
agent_06,assertive,5,1,5,0.989811,2,0.002827,1.015101,1.484899,0.469798,0.296980,1.000000
agent_07,assertive,5,0,5,0.947993,2,0.003225,0.006449,2.493551,2.487101,0.498710,1.000000
agent_08,calibrated,5,0,5,0.820418,3,0.003923,0.011769,2.488231,2.476461,0.497646,1.000000
agent_09,calibrated,5,0,5,0.772168,1,0.003702,0.003702,2.496298,2.492596,0.499260,1.000000
agent_10,timid,5,0,5,0.360462,2,0.001596,0.003192,2.496808,2.493616,0.499362,1.000000
agent_11,calibrated,5,0,5,0.599704,3,0.004085,0.012256,2.487744,2.475488,0.497549,1.000000
agent_12,timid,5,0,5,0.395042,4,0.003168,0.012673,2.487327,2.474655,0.497465,1.000000
agent_13,assertive,5,0,5,0.965993,5,0.003586,0.017929,2.482071,2.464142,0.496414,1.000000
agent_14,timid,5,0,5,0.405970,0,0.000000,0.000000,2.500000,2.500000,0.500000,1.000000
agent_15,assertive,5,0,5,1.000000,2,0.003133,0.006266,2.493734,2.487467,0.498747,1.000000
agent_16,neutral,5,0,5,0.738822,2,0.003353,0.006705,2.493295,2.486590,0.498659,1.000000
agent_17,neutral,5,0,5,0.809313,1,0.001908,0.001908,2.498092,2.496184,0.499618,1.000000
agent_18,neutral,5,0,5,0.739882,3,0.002910,0.008731,2.491269,2.482538,0.498254,1.000000
agent_19,timid,5,0,5,0.381070,3,0.003155,0.009465,2.490535,2.481070,0.498107,1.000000
