round_num,vignette_id,agent_id,communication_style,confidence,bid_amount,winning_bid,winner
1,ethics_mh_022,agent_00,calibrated,0.819,0.794589,1.000000,0
1,ethics_mh_022,agent_01,neutral,0.842,0.954150,1.000000,0
1,ethics_mh_022,agent_02,calibrated,0.578,0.620635,1.000000,0
1,ethics_mh_022,agent_03,assertive,0.829,1.000000,1.000000,1
1,ethics_mh_022,agent_04,neutral,0.771,0.733106,1.000000,0
1,ethics_mh_022,agent_05,timid,0.826,0.323122,1.000000,0
1,ethics_mh_022,agent_06,assertive,0.836,1.000000,1.000000,0
1,ethics_mh_022,agent_07,assertive,0.950,1.000000,1.000000,0
1,ethics_mh_022,agent_08,calibrated,0.543,0.642505,1.000000,0
1,ethics_mh_022,agent_09,calibrated,0.736,0.780245,1.000000,0
1,ethics_mh_022,agent_10,timid,0.632,0.368901,1.000000,0
1,ethics_mh_022,agent_11,calibrated,0.521,0.464049,1.000000,0
1,ethics_mh_022,agent_12,timid,0.857,0.397883,1.000000,0
1,ethics_mh_022,agent_13,assertive,0.780,1.000000,1.000000,0
1,ethics_mh_022,agent_14,timid,0.997,0.462767,1.000000,0
1,ethics_mh_022,agent_15,assertive,0.878,1.000000,1.000000,0
1,ethics_mh_022,agent_16,neutral,0.678,0.659652,1.000000,0
1,ethics_mh_022,agent_17,neutral,0.880,0.892861,1.000000,0
1,ethics_mh_022,agent_18,neutral,0.867,0.786625,1.000000,0
1,ethics_mh_022,agent_19,timid,0.920,0.470328,1.000000,0
2,ethics_mh_096,agent_00,calibrated,1.000,1.000000,1.000000,1
2,ethics_mh_096,agent_01,neutral,0.571,0.522875,1.000000,0
2,ethics_mh_096,agent_02,calibrated,0.550,0.582092,1.000000,0
2,ethics_mh_096,agent_03,assertive,0.840,1.000000,1.000000,0
2,ethics_mh_096,agent_04,neutral,0.750,0.738589,1.000000,0
2,ethics_mh_096,agent_05,timid,0.702,0.378970,1.000000,0
2,ethics_mh_096,agent_06,assertive,0.890,1.000000,1.000000,0
2,ethics_mh_096,agent_07,assertive,0.518,0.748330,1.000000,0
2,ethics_mh_096,agent_08,calibrated,0.861,0.825944,1.000000,0
2,ethics_mh_096,agent_09,calibrated,0.630,0.657498,1.000000,0
2,ethics_mh_096,agent_10,timid,0.779,0.410921,1.000000,0
2,ethics_mh_096,agent_11,calibrated,0.823,0.733128,1.000000,0
2,ethics_mh_096,agent_12,timid,0.576,0.235172,1.000000,0
2,ethics_mh_096,agent_13,assertive,0.807,1.000000,1.000000,0
2,ethics_mh_096,agent_14,timid,0.987,0.399248,1.000000,0
2,ethics_mh_096,agent_15,assertive,0.800,1.000000,1.000000,0
2,ethics_mh_096,agent_16,neutral,0.683,0.704852,1.000000,0
2,ethics_mh_096,agent_17,neutral,0.700,0.746278,1.000000,0
2,ethics_mh_096,agent_18,neutral,0.708,0.707104,1.000000,0
2,ethics_mh_096,agent_19,timid,0.791,0.364910,1.000000,0
3,ethics_mh_042,agent_00,calibrated,0.511,0.499439,1.000000,0
3,ethics_mh_042,agent_01,neutral,0.779,0.776133,1.000000,0
3,ethics_mh_042,agent_02,calibrated,0.827,0.792980,1.000000,0
3,ethics_mh_042,agent_03,assertive,0.753,1.000000,1.000000,1
3,ethics_mh_042,agent_04,neutral,0.592,0.626668,1.000000,0
3,ethics_mh_042,agent_05,timid,0.633,0.351296,1.000000,0
3,ethics_mh_042,agent_06,assertive,0.987,1.000000,1.000000,0
3,ethics_mh_042,agent_07,assertive,0.763,1.000000,1.000000,0
3,ethics_mh_042,agent_08,calibrated,0.891,0.903870,1.000000,0
3,ethics_mh_042,agent_09,calibrated,0.668,0.668727,1.000000,0
3,ethics_mh_042,agent_10,timid,0.536,0.283100,1.000000,0
3,ethics_mh_042,agent_11,calibrated,0.556,0.539574,1.000000,0
